Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore	Reason for filtering out
18.31_848.6189m/z	848.6189	18.31	Accucore_C18_pos	681272.83	631336.72	2606811.07	2201130.96	506583.15	4440794.30	220146.48	494793.22	1082201.02	4118212.60	221542.45	173026.12	615087.40	278608.46	2150765.77	805788.44	1333764.67	478613.38	776350.72	1768561.35	584113.55	770111.44	421138.77	205376.32	509832.79	689483.55	348985.62	1947009.30	673062.12	811717.25	1926208.02	413733.84	879851.07	1260851.68	1214421.01	1266013.56	PC(19:0/22:6)+H	(19:0/22:6)	PC	C49 H87 O8 N1 P1	18.30	848.6164	19.88298959	0.399360409	Duplicate lipid with low intensity
18.09_848.6178m/z	848.6178	18.09	Accucore_C18_pos	206042.30	172505.95	902043.66	705364.30	171700.54	1421964.47	84983.25	207681.27	449061.02	1331951.32	94886.37	87931.01	164983.34	121565.84	738841.54	204403.33	299285.32	130693.00	326305.96	644292.08	147522.49	210068.51	147357.20	48307.91	129823.32	176488.34	90490.53	768445.99	217608.92	233730.62	780825.34	115796.76	367131.24	486355.96	448515.35	450427.42	PC(19:0/22:6)+H	(19:0/22:6)	PC	C49 H87 O8 N1 P1	18.30	848.6164	19.88298959	0.399360409	Duplicate lipid with low intensity
16.98_794.5721m/z	794.5721	16.98	Accucore_C18_pos	2868931.66	2011577.63	9930471.70	7639667.61	3082500.55	15194235.28	1228644.24	3167028.04	6250376.16	11999119.29	1268534.98	1033108.63	1888970.72	2041975.23	7462779.61	2922790.50	1625831.14	1676935.76	5044888.45	7977955.10	1729224.16	2062928.74	2875085.09	333007.73	993718.68	2293072.00	874922.55	7456551.95	5434620.05	2862778.23	7350647.89	2699431.09	5542834.50	5663766.01	5400890.41	5522131.24	PC(17:1/20:4)+H	(17:1/20:4)	PC	C45 H81 O8 N1 P1	16.75	794.5694	19.88298959	0.188876295	Duplicate lipid with low intensity
17.51_778.5394m/z	778.5394	17.51	Accucore_C18_pos	597949.85	153349.15	3156241.46	2648836.06	907958.08	6050212.60	109626.34	647395.55	1260770.73	4648079.10	153487.95	54619.96	129102.73	236816.58	2525088.14	548504.15	535232.94	166145.41	1014912.50	3310618.30	412568.66	502080.07	892627.32	28801.32	243541.91	159319.98	144868.58	2850382.60	1525105.48	415350.68	2828223.57	724755.84	1084248.87	1596255.41	1550846.24	1562863.44	PC(16:1/20:5)+H	(16:1/20:5)	PC	C44 H77 O8 N1 P1	17.31	778.5381	13.4532978	1.266191229	Duplicate lipid with low intensity
15.59_738.5420m/z	738.5420	15.59	Accucore_C18_pos	327.02	2130.38	374.97	342.46	360.49	443.08	0.00	0.00	231.58	1606.61	0.00	0.00	677.13	0.00	573.79	619.15	311.58	1975.81	0.00	5.52	1465.65	1333.71	307.79	0.00	0.00	1257.92	106.71	0.00	673.04	1412.26	48.58	470.95	0.00	491.45	542.39	578.42	PC(14:1e/20:4)+H	(14:1e/20:4)	PC	C42 H77 O7 N1 P1	15.97	738.5432	9.639926182	0.229140698	Duplicate lipid with low intensity
17.89_684.5588m/z	684.5588	17.89	Accucore_C18_pos	2426.25	2916.79	24063.98	20596.58	0.00	11358.80	0.00	0.00	0.00	12365.27	0.00	0.00	1545.53	0.00	25942.42	7791.62	10262.80	1935.71	0.00	24871.84	6240.75	6600.03	0.00	0.00	963.01	4458.58	423.60	15548.46	3206.28	4609.63	10476.51	1608.30	0.00	7986.45	5257.09	3993.83	DG(18:1/22:6)+NH4	(18:1/22:6)	DG	C43 H74 O5 N1	18.29	684.5562	4.675423508	1.626657899	Duplicate lipid with low intensity
19.21_662.5743m/z	662.5743	19.21	Accucore_C18_pos	142.40	142.22	3716.56	4333.02	0.11	4837.91	0.00	0.00	2.13	4800.26	0.79	0.28	2.56	0.49	3452.88	39.60	343.00	0.16	12.54	3547.07	62.08	294.11	142.58	1.36	208.01	336.08	0.00	2857.51	983.71	709.65	2825.58	0.00	345.35	1958.75	1105.72	850.55	DG(18:0/20:4)+NH4	(18:0/20:4)	DG	C41 H76 O5 N1	19.40	662.5718	16.48295073	1.821680029	Duplicate lipid with low intensity
18.95_636.5583m/z	636.5583	18.95	Accucore_C18_pos	8928.18	1586.77	88149.94	59270.11	6737.44	102343.73	900.15	7087.92	10556.81	71243.44	1639.51	1966.93	0.26	3416.32	63042.33	7299.54	15606.73	2190.30	18492.73	95524.72	4324.02	14042.19	4486.00	0.11	5496.59	922.85	6811.40	37560.46	51695.46	12554.37	55055.52	17054.23	12271.63	37014.06	31992.53	34459.68	DG(18:1/18:2)+NH4	(18:1/18:2)	DG	C39 H74 O5 N1	18.76	636.5562	5.275530019	1.455448587	Duplicate lipid with low intensity
17.51_717.5913m/z	717.5913	17.51	Accucore_C18_pos	555369.91	844584.19	2017462.22	1724366.63	106492.76	2301635.41	32032.79	135370.75	291174.61	3212389.24	26618.87	13613.83	767769.01	26172.10	1763061.66	694327.99	136246.12	969330.19	239321.29	983133.63	520361.33	590378.49	124027.35	2192.38	31143.07	1031054.47	3177.00	811139.35	590678.16	599988.05	832715.11	104815.08	195744.97	811002.09	783389.06	751465.83	SM(d17:0/18:1)+H	(d17:0/18:1)	SM	C40 H82 O6 N2 P1	17.28	717.5905	12.83704479	0.576127122	Duplicate lipid with low intensity
15.73_707.5714m/z	707.5714	15.73	Accucore_C18_pos	3575.45	6906.42	3521.95	3628.96	2563.40	12482.94	96.47	276.36	3051.27	7446.03	92.54	0.00	5544.13	400.84	4679.38	6405.12	3076.20	6256.04	1464.67	5403.66	6905.51	7607.87	2410.55	1142.60	2638.29	6711.87	4266.56	2442.35	5860.50	7084.01	4944.08	2625.30	1180.96	5085.04	7150.06	4989.16	SM(t18:0/15:0)+H	(t18:0/15:0)	SM	C38 H80 O7 N2 P1	15.50	707.5698	7.423659465	2.232241192	Duplicate lipid with low intensity
15.70_707.5730m/z	707.5730	15.70	Accucore_C18_pos	2224.92	4318.77	2386.77	2063.06	1408.55	13135.43	0.00	0.00	1847.38	5938.80	159.48	0.00	3688.78	99.95	3200.81	5192.16	1616.84	5722.65	993.60	3600.59	4626.69	4854.34	1895.22	787.41	1884.12	4546.64	2581.06	1503.39	6820.31	5721.98	1993.74	2573.85	1540.70	3987.17	3422.56	3532.66	SM(t18:0/15:0)+H	(t18:0/15:0)	SM	C38 H80 O7 N2 P1	15.50	707.5698	7.423659465	2.232241192	Duplicate lipid with low intensity
19.23_807.6352m/z	807.6352	19.23	Accucore_C18_pos	446.81	0.00	7120.00	6303.52	210.22	11716.44	0.00	666.60	425.29	12350.91	212.06	0.00	0.00	456.43	4071.43	727.46	8042.96	681.13	415.17	3912.84	717.57	40.83	3.76	0.00	28.25	706.53	325.84	5786.73	130.90	1270.50	7291.99	437.20	10.21	2384.41	1938.43	818.25	SM(d18:1/24:4)+H	(d18:1/24:4)	SM	C47 H88 O6 N2 P1	18.86	807.6375	20.94176796	0.146319224	Duplicate lipid with low intensity
14.82_661.5302m/z	661.5302	14.82	Accucore_C18_pos	28281.83	13276.11	72013.72	50581.65	22358.40	112536.59	16962.29	24743.82	63539.49	108057.77	29075.31	23787.04	8956.75	43071.40	48197.54	25052.07	10337.74	26832.71	54369.17	40722.36	31860.24	34780.15	19944.60	4499.92	6729.73	16396.19	10573.09	27488.34	58623.41	35215.13	30908.75	21518.07	43262.62	44860.20	42015.02	46017.06	SM(d18:1/13:0)+H| SM(d18:1/13:0)+H	(d18:1/13:0)| (d18:1/13:0)	SM| SM	C36 H74 O6 N2 P1| C36 H74 O6 N2 P1	14.7748748138182| 15.0449276005695	661.52790247| 661.52790247	7.17829241433562| 9.75954460154527	1.5034643046172| 1.25040001227275	Duplicate lipid with low intensity
16.84_713.5583m/z	713.5583	16.84	Accucore_C18_pos	10329.38	97472.13	5125.09	8663.76	16452.23	0.00	0.00	0.00	0.00	4003.27	199.37	2086.71	83299.68	110.63	16564.21	44445.10	20931.40	101116.97	1080.01	2441.50	34945.29	32259.03	18652.46	6900.41	22091.31	91295.91	18132.97	0.00	38739.53	34719.53	1156.25	11995.00	0.00	4852.05	6937.28	5571.28	SM(d18:2/17:1)+H	(d18:2/17:1)	SM	C40 H78 O6 N2 P1	16.63	713.5592	8.900312288	0.205201278	Duplicate lipid with low intensity
18.29_731.6082m/z	731.6082	18.29	Accucore_C18_pos	1822.07	4517.21	8475.70	7219.82	788.10	14496.28	0.00	0.00	0.00	12540.40	0.00	0.00	3274.81	296.40	7495.44	1933.17	0.00	3110.21	338.37	6860.66	2360.26	1902.14	856.86	0.00	583.59	2948.60	330.87	6708.04	2895.12	1741.99	8836.13	1077.41	628.01	4035.87	3428.61	3786.27	SM(d18:1/18:0)+H	(d18:1/18:0)	SM	C41 H84 O6 N2 P1	18.00	731.6062	16.66666667	0.386624279	Duplicate lipid with low intensity
21.77_815.7012m/z	815.7012	21.77	Accucore_C18_pos	5950.86	8830.30	9562.39	10442.13	7275.87	17070.42	0.00	0.00	435.88	12764.88	0.00	72.07	8038.16	0.00	9047.65	9823.19	18186.20	5614.04	0.00	6957.52	4666.62	6125.38	5083.31	1390.83	4765.81	9894.65	2026.27	7237.84	4678.34	12183.54	7014.40	5776.34	326.53	7452.25	7867.08	9760.17	SM(d18:1/24:0)+H	(d18:1/24:0)	SM	C47 H96 O6 N2 P1	21.36	815.7001	7.74442116	0.368229166	Duplicate lipid with low intensity
5.78_478.2949m/z	478.2949	5.78	Accucore_C18_neg	7971.96	6183.67	18093.00	15043.86	8206.68	38687.16	1220.13	3230.15	7160.43	23710.61	461.21	1042.78	5756.64	1630.85	17689.27	44733.07	11477.71	5911.53	7095.96	30915.29	7737.25	8319.23	8304.60	3886.55	7582.40	8236.49	6063.85	23566.45	15890.46	6846.43	23804.97	7718.15	11544.88	15199.75	15884.56	16740.78	LPE(18:1)-H	(18:1)	LPE	C23 H45 O7 N1 P1	5.83	478.2939	3.50402186	6.761404392	Duplicate lipid with low intensity
18.52_792.5584m/z	792.5584	18.52	Accucore_C18_neg	317973.09	414018.98	1056726.51	962737.07	229598.86	1521341.03	102750.50	229595.84	376773.59	1704483.40	117995.14	102299.54	427867.29	149208.11	913022.36	399308.22	256732.38	353093.21	315070.54	609584.68	313803.96	320875.64	247652.11	69594.42	181105.09	533769.43	115999.89	651346.57	270915.41	312922.91	639096.91	200866.44	400518.73	538789.93	524203.80	547317.28	PE(18:0/22:5)-H| PE(18:0/22:5)-H	(18:0/22:5)| (18:0/22:5)	PE| PE	C45 H79 O8 N1 P1| C45 H79 O8 N1 P1	18.1906646917152| 18.5167543174972	792.554880529999| 792.554880529999	42.9929193289138| 24.0389599198805	0.0810816629482558| 0.391076996281588	Duplicate lipid with low intensity
16.95_690.5085m/z	690.5085	16.95	Accucore_C18_neg	140811.27	26307.02	458795.63	420305.67	231849.94	896671.13	113348.65	295067.40	366661.71	690459.04	76864.05	69813.12	29864.46	107389.82	414999.38	112337.50	142607.90	17806.47	334631.25	553190.37	72108.02	87037.79	230064.64	44111.32	100191.16	33289.87	56101.62	615192.21	139014.65	90032.32	594472.60	148837.34	445962.19	325689.65	318491.48	317344.28	PE(16:0/16:0)-H	(16:0/16:0)	PE	C37 H73 O8 N1 P1	16.93	690.5079	7.853460637	0.672097446	Duplicate lipid with low intensity
17.87_690.5089m/z	690.5089	17.87	Accucore_C18_neg	428.26	0.00	6324.23	4038.35	1423.95	16757.82	0.00	642.35	186.87	8578.14	0.00	0.00	0.00	0.00	3967.79	0.00	3842.40	0.00	680.64	10129.62	0.00	0.00	1621.17	0.00	214.18	0.00	0.00	3740.66	10159.35	0.00	5256.94	2307.53	1322.17	1914.11	1192.23	1865.84	PE(16:0/16:0)-H	(16:0/16:0)	PE	C37 H73 O8 N1 P1	18.08	690.5079	19.55073248	0.460545221	Duplicate lipid with low intensity
15.92_710.4796m/z	710.4796	15.92	Accucore_C18_neg	262.09	187.95	11927.60	7389.13	2850.50	32217.81	0.00	177.48	748.74	17344.01	0.00	0.00	302.49	0.00	8100.50	221.30	58.09	104.10	509.64	16708.20	130.36	144.87	2472.50	0.00	95.68	221.70	0.00	11650.37	7165.90	24.33	10531.86	1855.93	336.93	3720.20	3211.45	3472.23	PE(18:4/16:0)-H	(18:4/16:0)	PE	C39 H69 O8 N1 P1	16.23	710.4766	7.753700423	0.123165868	Duplicate lipid with low intensity
18.91_718.5419m/z	718.5419	18.91	Accucore_C18_neg	69401.80	9595.80	502739.64	457462.55	76660.27	774458.67	40811.39	104525.44	196102.17	717273.25	42663.39	34829.57	14672.16	65013.24	467883.67	32288.64	123446.00	4547.52	158687.09	383047.95	16475.11	39033.72	73790.37	14742.66	46183.13	14948.92	30989.41	383245.93	167834.01	33435.05	393350.07	53404.43	183264.23	224762.57	220763.13	222875.99	PE(18:0/16:0)-H	(18:0/16:0)	PE	C39 H77 O8 N1 P1	18.90	718.5392	13.72638923	0.453532881	Duplicate lipid with low intensity
18.10_748.5297m/z	748.5297	18.10	Accucore_C18_neg	620370.93	551232.37	1530397.15	1481255.26	346698.64	2727871.32	459106.23	972413.56	2087984.22	2532088.63	504814.74	386340.50	575140.83	633611.22	1414245.91	781687.32	348195.80	497423.37	1552376.69	1181582.22	613737.06	627004.80	346642.50	80666.55	223855.70	720430.32	156462.31	1449995.00	465455.54	561838.85	1483483.26	314457.64	1672866.18	1200484.89	1150095.11	1186680.92	PE(16:1e/22:5)-H| PE(16:1e/22:5)-H	(16:1e/22:5)| (16:1e/22:5)	PE| PE	C43 H75 O7 N1 P1| C43 H75 O7 N1 P1	17.7953235628938| 18.092443878555	748.528665529999| 748.528665529999	28.7280761777812| 7.70008064821269	0.566979545071202| 0.811046211737869	Duplicate lipid with low intensity
18.93_744.5577m/z	744.5577	18.93	Accucore_C18_neg	1622515.18	2496141.19	4570497.27	4664872.79	1154532.62	6072909.09	160319.23	403915.62	717810.31	6999729.24	171524.26	143561.63	2467144.14	226587.91	4487747.75	2167994.58	1357482.37	1817336.55	627499.95	3092215.59	1579385.79	1743084.82	1212107.79	366936.32	884622.79	3047175.38	518958.36	3180440.92	1677824.24	1665644.58	3096022.57	1033319.80	734147.16	2483009.29	2391894.96	2433565.34	PE(18:0/18:1)-H	(18:0/18:1)	PE	C41 H79 O8 N1 P1	18.93	744.5549	30	0.294156033	Duplicate lipid with low intensity
16.29_736.4930m/z	736.4930	16.29	Accucore_C18_neg	27175.47	20021.24	117983.39	96843.46	59810.04	237397.77	12479.39	28629.46	53733.45	168710.41	4420.34	5573.94	16405.16	10845.39	96872.01	14711.57	25721.47	9472.69	43429.67	131208.27	12997.33	12279.93	55738.58	5285.14	19104.29	20380.89	14882.96	126755.40	57789.24	15650.23	134363.54	51736.42	59348.89	63528.88	59361.97	64983.54	PE(16:0/20:5)-H	(16:0/20:5)	PE	C41 H71 O8 N1 P1	16.63	736.4923	50.21831634	0.233659552	Duplicate lipid with low intensity
17.78_740.5254m/z	740.5254	17.78	Accucore_C18_neg	107374.56	92725.80	466356.02	378769.25	85795.06	714982.50	28909.84	60655.75	146392.57	647033.83	46478.17	35994.96	82683.29	52163.88	358126.97	127847.74	85212.20	167953.40	115983.42	329442.79	86666.68	112780.42	89276.02	40917.12	61208.38	136135.25	62876.86	205199.46	373043.77	101968.70	209277.90	117429.60	101264.41	197957.40	185344.15	188753.55	PE(18:1/18:2)-H| PE(18:0/18:3)-H	(18:1/18:2)| (18:0/18:3)	PE| PE	C41 H75 O8 N1 P1| C41 H75 O8 N1 P1	17.4369731589293| 17.75	740.523580529999| 740.523580529999	13.8461554801447| 8.05979516149836	0.146109779416281| 0.251532933720177	Duplicate lipid with low intensity
15.57_734.4761m/z	734.4761	15.57	Accucore_C18_neg	5851.92	9954.11	45623.92	35505.33	12419.13	78551.24	341.81	2253.40	5667.32	62402.68	134.17	142.97	9587.77	1229.72	35858.92	1452.06	5288.34	2093.49	4841.31	34274.35	685.76	722.28	11483.24	363.69	3945.41	12525.75	6036.51	41576.74	4664.02	1151.05	41135.29	8381.96	9427.02	15537.26	14152.06	13825.51	PE(16:1/20:5)-H| PE(14:0/22:6)-H	(16:1/20:5)| (14:0/22:6)	PE| PE	C41 H69 O8 N1 P1| C41 H69 O8 N1 P1	15.571| 15.9138071671251	734.47663053| 734.47663053	3.87430255681271| 13.6155083434825	0.308244676505987| 0.121738303576964	Duplicate lipid with low intensity
19.39_800.6199m/z	800.6199	19.39	Accucore_C18_neg	97.24	81.02	84.96	239.80	109.52	330.98	0.00	0.00	7.34	816.61	0.00	0.00	315.99	0.00	360.05	636.97	19077.74	0.00	1.75	74.86	0.63	2164.35	9.45	184.05	2546.62	0.00	2088.82	184.35	1401.48	3686.80	39.36	620.17	0.51	86.01	449.89	321.70	PE(18:1/22:0)-H	(18:1/22:0)	PE	C45 H87 O8 N1 P1	19.72	800.6175	5.180614667	0.827013923	Duplicate lipid with low intensity
17.18_772.5301m/z	772.5301	17.18	Accucore_C18_neg	21462.62	19624.89	114336.38	79875.19	25512.18	189576.06	948.54	7299.35	14242.29	191532.73	1290.34	421.50	12677.81	2213.24	76830.97	32214.17	25558.80	22052.88	9222.99	83581.76	30265.68	26111.16	20872.35	662.05	9763.59	17871.16	3981.38	95439.72	54950.61	25042.42	84168.44	20795.54	17432.17	40656.37	36150.78	40256.94	PE(18:2e/22:6)-H	(18:2e/22:6)	PE	C45 H75 O7 N1 P1	17.53	772.5287	48.44161191	0.643194019	Duplicate lipid with low intensity
16.82_790.5400m/z	790.5400	16.82	Accucore_C18_neg	391970.29	274809.03	1498815.02	1254937.45	380096.28	2648281.49	452038.98	921522.02	1830727.25	2126053.43	394424.54	303927.90	258679.75	480764.20	1255579.31	425208.72	362279.68	156017.41	1249881.91	1497743.32	287188.68	353274.17	364414.94	107266.44	250045.97	310395.71	197364.68	1754151.03	389516.04	347974.79	1789159.56	230049.74	1426744.50	1054695.07	991068.70	1014932.16	PE(18:0/22:6)-H	(18:0/22:6)	PE	C45 H77 O8 N1 P1	16.99	790.5392	4.542352742	0.732597779	Duplicate lipid with low intensity
17.31_764.5234m/z	764.5234	17.31	Accucore_C18_neg	2158789.95	733062.02	6578384.81	5782073.07	3223250.12	13903589.72	1196722.89	2316193.79	4138472.28	8761153.52	1217290.40	1101490.11	752189.80	1597296.75	5755049.25	1319351.21	2001386.11	588318.11	3241928.15	7735617.40	1038789.67	1112101.41	3257314.21	651836.16	1615094.54	917236.27	1157659.28	8467280.10	3600697.90	1080982.06	8609196.62	2751743.01	4203691.51	4386740.79	4196124.69	4377397.99	PE(16:0/22:5)-H| PE(18:0/20:5)-H	(16:0/22:5)| (18:0/20:5)	PE| PE	C43 H75 O8 N1 P1| C43 H75 O8 N1 P1	17.3018187534034| 17.6535371479218	764.523580529999| 764.523580529999	28.7395387692173| 35.4906142804893	0.0964684663783481| 0.449900211737869	Duplicate lipid with low intensity
18.90_770.5733m/z	770.5733	18.90	Accucore_C18_neg	243736.01	255165.12	890575.73	829823.38	259321.60	1158761.08	31012.14	90110.73	148115.16	1286032.95	31992.64	33539.54	238240.07	46963.05	769597.80	273889.57	247590.62	237534.15	145364.41	569824.00	239881.41	250192.90	266715.79	67623.33	197398.75	298314.61	120215.74	631563.64	273562.07	224931.69	640704.26	204989.34	174103.68	429134.85	416799.60	418160.90	PE(20:1/18:1)-H	(20:1/18:1)	PE	C43 H81 O8 N1 P1	18.91	770.5705	16.40180954	0.050227793	Duplicate lipid with low intensity
16.02_810.5076m/z	810.5076	16.02	Accucore_C18_neg	71590.55	38097.89	345845.79	280740.33	66039.97	630758.91	88995.25	179662.59	323631.65	606155.11	73426.27	69754.83	37968.27	120384.00	287304.78	22951.94	44553.36	35035.02	257750.96	248930.28	21508.70	23938.34	63384.96	6290.70	25304.20	41819.58	23533.24	277072.53	132348.98	17925.66	258934.83	51342.80	281584.16	176583.99	171017.70	181616.25	PE(20:4/22:6)-H	(20:4/22:6)	PE	C47 H73 O8 N1 P1	15.79	810.5079	39.79179113	0.300921132	Duplicate lipid with low intensity
15.58_937.5815m/z	937.5815	15.58	Accucore_C18_neg	133709.03	94031.62	121099.86	135423.70	142691.99	97532.35	76083.64	83877.74	149660.09	119183.81	170587.81	116056.14	127898.78	125385.25	149945.29	129618.74	127221.57	133329.77	134088.28	173456.00	163514.21	123400.58	173831.92	159331.83	101061.25	181680.61	136232.47	165396.18	128110.22	118620.99	162253.66	161351.32	179221.41	179636.37	188491.90	188522.60	PI(20:0/22:6)-H	(20:0/22:6)	PI	C51 H86 O13 N0 P1	15.58	937.5812	3.370793069	1.999609969	Duplicate lipid with low intensity
15.41_937.5828m/z	937.5828	15.41	Accucore_C18_neg	1102.78	1.28	0.28	232.22	550.66	0.00	752.24	333.63	1389.11	0.00	1201.79	1541.96	1003.77	2690.38	1208.30	238.55	2356.93	1648.00	682.23	511.68	1938.92	2686.45	2530.85	2858.80	2724.67	3298.28	3971.35	714.29	1514.99	634.62	435.39	166.69	1428.45	835.26	1301.27	1332.12	PI(20:0/22:6)-H	(20:0/22:6)	PI	C51 H86 O13 N0 P1	15.58	937.5812	3.370793069	1.999609969	Duplicate lipid with low intensity
15.75_881.5192m/z	881.5192	15.75	Accucore_C18_neg	934511.54	825027.31	3504714.84	2724012.64	1166706.87	7507021.10	266963.49	645330.47	919403.90	5900617.06	220095.55	219695.91	866855.55	327127.62	2814648.89	1028200.38	970119.98	584262.33	858323.92	3445743.39	690272.48	744310.91	1204285.75	234069.79	653059.06	1068483.08	476652.74	3912754.19	1208799.30	949619.17	4012629.79	735844.69	1098618.98	1848962.26	1775712.45	1834361.33	PI(18:1/20:5)-H| PI(16:0/22:6)-H	(18:1/20:5)| (16:0/22:6)	PI| PI	C47 H78 O13 N0 P1| C47 H78 O13 N0 P1	15.7492634997131| 16.0944668288011	881.51855653| 881.51855653	70.112949561489| 101.451100469275	0.144056164365466| 0.196858835634533	Duplicate lipid with low intensity
15.12_905.5200m/z	905.5200	15.12	Accucore_C18_neg	15947.46	2488.59	49566.36	32874.64	17597.57	103122.13	14357.56	35892.05	56969.27	80934.19	14475.65	11645.16	2472.41	19851.38	35904.88	4033.88	6999.27	4054.45	53104.50	50265.78	2305.79	3939.03	17308.16	0.00	3672.29	5049.82	3486.68	42500.17	41892.93	3094.01	44552.25	14586.76	58388.14	32645.71	31009.78	32921.77	PI(18:2/22:6)-H	(18:2/22:6)	PI	C49 H78 O13 N0 P1	15.31	905.5186	18.70061944	0.449773335	Duplicate lipid with low intensity
15.08_929.5202m/z	929.5202	15.08	Accucore_C18_neg	9621.05	430.60	33517.95	25710.30	8237.52	79655.60	19496.45	44583.07	76671.92	66067.67	9817.25	6308.09	693.78	18595.73	27919.63	617.12	1990.18	882.70	55946.17	36611.13	374.40	1185.23	9424.85	0.00	896.59	702.76	371.14	38633.10	16882.59	813.70	36969.54	3559.59	66840.73	25726.97	24150.00	26920.13	PI(20:4/22:6)-H	(20:4/22:6)	PI	C51 H78 O13 N0 P1	14.82	929.5186	12.96401781	0.511876357	Duplicate lipid with low intensity
17.92_913.5815m/z	913.5815	17.92	Accucore_C18_neg	84638.21	55285.37	208666.94	214658.99	52080.71	435330.25	43236.48	95872.73	262984.01	348926.99	54022.34	30685.81	63157.28	66898.13	229411.41	83023.14	86253.29	43998.79	170816.75	219925.16	73837.79	102136.17	64220.69	23131.25	57653.25	97736.45	30884.10	185254.56	168491.86	63011.50	200811.71	56458.20	166980.49	170622.63	163702.01	166391.88	PI(18:0/22:4)-H| PI(20:0/20:4)-H	(18:0/22:4)| (20:0/20:4)	PI| PI	C49 H86 O13 N0 P1| C49 H86 O13 N0 P1	17.9119397850066| 18.2254429288664	913.581156529999| 913.581156529999	5.13532611341536| 17.5378391621513	0.0337333229041654| 0.300900756100793	Duplicate lipid with low intensity
18.11_816.5179m/z	816.5179	18.11	Accucore_C18_neg	47335.54	39481.42	69624.48	62974.16	19942.52	71634.52	40766.57	85989.97	148905.70	88988.24	53855.59	40747.76	45618.40	67918.14	59903.00	61232.83	20990.26	41397.80	125937.00	41744.65	49052.68	41980.12	20318.10	3570.53	12627.61	61223.45	7803.62	60614.56	16421.56	42136.26	60842.86	17819.86	133306.41	65683.91	68078.30	67390.24	PS(18:3e/22:5)-H	(18:3e/22:5)	PS	C46 H75 O9 N1 P1	17.80	816.5185	6.497425758	0.974581749	Duplicate lipid with low intensity
16.42_862.5608m/z	862.5608	16.42	Accucore_C18_neg	406019.08	319582.32	1727142.70	1408761.03	423300.59	3041991.99	203241.59	546914.85	877936.92	2404939.80	157652.63	137113.04	311478.87	233168.24	1422905.13	426278.06	360649.77	247252.55	711573.48	1614613.91	316906.11	388737.58	426047.32	97350.80	249499.11	355336.37	164528.76	1712327.28	465598.15	352385.85	1700735.15	243323.58	783006.86	893060.75	863767.88	879378.08	PS(20:0/22:6)-H	(20:0/22:6)	PS	C48 H81 O10 N1 P1	16.39	862.5604	4.807308886	1.800008938	Duplicate lipid with low intensity
16.35_664.4201m/z	664.4201	16.35	Accucore_C18_neg	109746.54	123186.20	229198.48	159031.81	99111.71	348375.97	57442.71	107502.09	139773.07	282407.24	30565.42	34955.99	92118.86	56512.88	185855.30	121593.20	97893.91	80073.61	151926.73	244682.66	111990.99	130589.50	100923.46	25658.70	62071.04	92148.94	45222.70	260321.14	95758.57	123792.72	267046.52	65171.98	128394.93	181282.13	170425.18	173334.81	PS(11:0/16:0)-H	(11:0/16:0)	PS	C33 H63 O10 N1 P1	16.62	664.4195	3.265920321	1.329750593	Duplicate lipid with low intensity
15.52_664.4201m/z	664.4201	15.52	Accucore_C18_neg	6951.20	2557.23	35199.55	24318.01	9270.57	51344.80	2347.48	11328.33	12797.29	44269.24	261.52	55.04	807.59	2341.99	24694.06	5423.49	10110.55	948.98	16169.27	36067.56	4282.69	8330.34	7502.29	1405.09	4014.04	990.83	1593.94	31848.33	5978.99	6400.10	40014.86	1880.41	14063.63	24494.56	22093.83	22514.05	PS(11:0/16:0)-H	(11:0/16:0)	PS	C33 H63 O10 N1 P1	15.49	664.4195	4.325330424	0.41878379	Duplicate lipid with low intensity
15.23_664.4208m/z	664.4208	15.23	Accucore_C18_neg	4483.71	1504.70	26054.85	19613.11	4280.06	36874.68	746.15	6177.09	6683.47	31724.23	97.35	0.00	454.49	301.65	20222.71	4538.68	4775.15	404.05	9049.45	24736.71	1908.36	4016.24	4428.73	189.96	2514.64	1169.42	862.37	23288.92	4932.07	5228.62	27959.37	1595.81	8046.86	15235.61	14022.86	14680.70	PS(11:0/16:0)-H	(11:0/16:0)	PS	C33 H63 O10 N1 P1	15.49	664.4195	4.325330424	0.41878379	Duplicate lipid with low intensity
15.89_664.4210m/z	664.4210	15.89	Accucore_C18_neg	1380.39	517.91	6062.12	3218.64	1319.01	8724.43	1052.56	3334.06	5558.40	6502.48	302.08	0.00	94.99	1784.50	3428.03	692.97	898.69	137.37	5589.95	6405.12	259.29	1470.58	1239.10	0.00	111.90	173.69	177.93	5085.96	2900.81	1441.77	5234.03	189.90	3680.32	4722.91	4783.47	5514.59	PS(11:0/16:0)-H	(11:0/16:0)	PS	C33 H63 O10 N1 P1	15.49	664.4195	4.325330424	0.41878379	Duplicate lipid with low intensity
