"","GOID","Term","Pvalue.RNA","Pvalue.ATAC","Ontology","lipid.related"
"epidermis development","GO:0008544","epidermis development",1.85003619613898e-06,1.37249589070195e-08,"BP",FALSE
"regulation of Notch signaling pathway","GO:0008593","regulation of Notch signaling pathway",0.00059789251768872,0.00172105221795872,"BP",FALSE
"carbohydrate transport","GO:0008643","carbohydrate transport",0.0348860988430709,0.0297932830815329,"BP",FALSE
"glucan biosynthetic process","GO:0009250","glucan biosynthetic process",0.00110285144096298,0.00625748398013177,"BP",FALSE
"response to external stimulus","GO:0009605","response to external stimulus",3.01256074811693e-15,0.0151689509795119,"BP",FALSE
"response to wounding","GO:0009611","response to wounding",2.15777240160738e-11,0.000137382686114352,"BP",FALSE
"anatomical structure morphogenesis","GO:0009653","anatomical structure morphogenesis",7.06493565355043e-40,5.15756408010051e-37,"BP",FALSE
"response to endogenous stimulus","GO:0009719","response to endogenous stimulus",4.93551787557129e-21,2.10268801585008e-09,"BP",FALSE
"response to hormone","GO:0009725","response to hormone",6.17304295152931e-13,0.000147954371231073,"BP",FALSE
"hormone-mediated signaling pathway","GO:0009755","hormone-mediated signaling pathway",0.00417277337202231,0.000282176398539302,"BP",FALSE
"embryo development","GO:0009790","embryo development",1.65997851315928e-11,1.15933189273981e-19,"BP",FALSE
"post-embryonic development","GO:0009791","post-embryonic development",0.00184941714945452,0.00502018334248893,"BP",FALSE
"embryo development ending in birth or egg hatching","GO:0009792","embryo development ending in birth or egg hatching",7.78755864812913e-09,3.23238066882706e-12,"BP",FALSE
"axis specification","GO:0009798","axis specification",0.0356880711073693,2.12706640265003e-05,"BP",FALSE
"animal organ morphogenesis","GO:0009887","animal organ morphogenesis",2.67225190162291e-23,1.77540114819362e-20,"BP",FALSE
"tissue development","GO:0009888","tissue development",9.19768981840434e-17,2.40965465386559e-24,"BP",FALSE
"negative regulation of biosynthetic process","GO:0009890","negative regulation of biosynthetic process",1.08389811428301e-08,6.03674859861606e-20,"BP",FALSE
"positive regulation of biosynthetic process","GO:0009891","positive regulation of biosynthetic process",2.8332416630969e-12,2.37807103372136e-18,"BP",FALSE
"negative regulation of metabolic process","GO:0009892","negative regulation of metabolic process",0.000199341643924073,1.75123865193635e-14,"BP",FALSE
"positive regulation of metabolic process","GO:0009893","positive regulation of metabolic process",4.94950819281997e-16,8.96686571301916e-19,"BP",FALSE
"regulation of catabolic process","GO:0009894","regulation of catabolic process",0.0435451582382571,0.0145092566872178,"BP",FALSE
"positive regulation of catabolic process","GO:0009896","positive regulation of catabolic process",0.0106081670604044,2.54487129805392e-05,"BP",FALSE
"epidermal cell differentiation","GO:0009913","epidermal cell differentiation",0.000112185282795613,4.69264127520825e-06,"BP",FALSE
"dorsal/ventral axis specification","GO:0009950","dorsal/ventral axis specification",0.0203650696390069,0.0084293494246606,"BP",FALSE
"anterior/posterior pattern specification","GO:0009952","anterior/posterior pattern specification",0.000669066374749594,5.29728392146167e-12,"BP",FALSE
"dorsal/ventral pattern formation","GO:0009953","dorsal/ventral pattern formation",0.0064433455756968,4.61435254714287e-08,"BP",FALSE
"regulation of signal transduction","GO:0009966","regulation of signal transduction",1.47008550782864e-21,6.14861967088928e-10,"BP",FALSE
"positive regulation of signal transduction","GO:0009967","positive regulation of signal transduction",1.06932633780358e-09,0.00185736058178059,"BP",FALSE
"negative regulation of signal transduction","GO:0009968","negative regulation of signal transduction",1.08966502858428e-06,2.51974972585776e-09,"BP",FALSE
"cellular process","GO:0009987","cellular process",1.27510429227404e-05,0.000591129271194627,"BP",FALSE
"glial cell differentiation","GO:0010001","glial cell differentiation",2.16824961965385e-06,1.29554360919987e-06,"BP",FALSE
"response to organic substance","GO:0010033","response to organic substance",1.38510157334628e-17,5.7158683296813e-05,"BP",FALSE
"response to organonitrogen compound","GO:0010243","response to organonitrogen compound",7.28644174874467e-09,0.00328029255040474,"BP",FALSE
"regulation of cell fate commitment","GO:0010453","regulation of cell fate commitment",0.00337523823672984,0.0379839431154538,"BP",FALSE
"negative regulation of cell fate commitment","GO:0010454","negative regulation of cell fate commitment",0.0162941829899653,0.0249530197217949,"BP",FALSE
"mesenchymal cell proliferation","GO:0010463","mesenchymal cell proliferation",4.78745507380433e-05,0.00096172959869911,"BP",FALSE
"regulation of mesenchymal cell proliferation","GO:0010464","regulation of mesenchymal cell proliferation",0.000366343616548511,0.00705158326017417,"BP",FALSE
"regulation of signaling receptor activity","GO:0010469","regulation of signaling receptor activity",9.12960673097905e-09,0.0301143615194097,"BP",FALSE
"regulation of gastrulation","GO:0010470","regulation of gastrulation",0.0281351968399287,0.00142649834997706,"BP",FALSE
"positive regulation of macromolecule biosynthetic process","GO:0010557","positive regulation of macromolecule biosynthetic process",4.48911934160442e-11,7.084146122992e-20,"BP",FALSE
"negative regulation of macromolecule biosynthetic process","GO:0010558","negative regulation of macromolecule biosynthetic process",3.62618277399225e-09,1.01235492273666e-19,"BP",FALSE
"positive regulation of phosphorus metabolic process","GO:0010562","positive regulation of phosphorus metabolic process",4.60883451175265e-10,0.0168524591440851,"BP",FALSE
"negative regulation of phosphorus metabolic process","GO:0010563","negative regulation of phosphorus metabolic process",1.83108550480052e-05,4.51013264697159e-07,"BP",FALSE
"regulation of endothelial cell migration","GO:0010594","regulation of endothelial cell migration",6.6191874217866e-08,2.6367019576921e-07,"BP",FALSE
"positive regulation of endothelial cell migration","GO:0010595","positive regulation of endothelial cell migration",2.0285485081923e-05,7.6311597480466e-05,"BP",FALSE
"negative regulation of endothelial cell migration","GO:0010596","negative regulation of endothelial cell migration",0.000433373857188345,0.00777491707645783,"BP",FALSE
"positive regulation of macromolecule metabolic process","GO:0010604","positive regulation of macromolecule metabolic process",3.34707071266284e-15,8.73027168899685e-19,"BP",FALSE
"negative regulation of macromolecule metabolic process","GO:0010605","negative regulation of macromolecule metabolic process",0.00428225261589511,5.66244005098705e-15,"BP",FALSE
"regulation of cardiac muscle hypertrophy","GO:0010611","regulation of cardiac muscle hypertrophy",0.000144337726761277,0.0371519975751001,"BP",FALSE
"positive regulation of gene expression","GO:0010628","positive regulation of gene expression",8.59175954203133e-14,5.29933635633725e-15,"BP",FALSE
"negative regulation of gene expression","GO:0010629","negative regulation of gene expression",0.00127971776517096,3.23453901510606e-14,"BP",FALSE
"epithelial cell migration","GO:0010631","epithelial cell migration",8.49218217855095e-09,4.7963310260441e-09,"BP",FALSE
"regulation of epithelial cell migration","GO:0010632","regulation of epithelial cell migration",4.12613937799839e-09,3.64116692199665e-09,"BP",FALSE
"negative regulation of epithelial cell migration","GO:0010633","negative regulation of epithelial cell migration",0.000520780105622477,0.000340956978322958,"BP",FALSE
"positive regulation of epithelial cell migration","GO:0010634","positive regulation of epithelial cell migration",4.3172509759937e-06,4.15246066536575e-05,"BP",FALSE
"positive regulation of organelle organization","GO:0010638","positive regulation of organelle organization",0.0109284091760709,0.0453455914351707,"BP",FALSE
"regulation of cell communication","GO:0010646","regulation of cell communication",4.47959726056679e-29,4.64176545507954e-10,"BP",FALSE
"positive regulation of cell communication","GO:0010647","positive regulation of cell communication",3.63305460936571e-12,0.00470564588056029,"BP",FALSE
"negative regulation of cell communication","GO:0010648","negative regulation of cell communication",1.32997997787356e-09,3.23681349211611e-11,"BP",FALSE
"regulation of epithelial to mesenchymal transition","GO:0010717","regulation of epithelial to mesenchymal transition",0.00161443080052445,2.2113608574343e-05,"BP",FALSE
"positive regulation of epithelial to mesenchymal transition","GO:0010718","positive regulation of epithelial to mesenchymal transition",0.00260074074562259,0.000157310168321855,"BP",FALSE
"positive regulation of cell development","GO:0010720","positive regulation of cell development",1.48949604260008e-11,4.01664068003698e-08,"BP",FALSE
"negative regulation of cell development","GO:0010721","negative regulation of cell development",2.02917286654495e-08,5.58631242787955e-13,"BP",FALSE
"regulation of cell morphogenesis involved in differentiation","GO:0010769","regulation of cell morphogenesis involved in differentiation",9.51364517750355e-05,5.1175641057559e-08,"BP",FALSE
"positive regulation of cell morphogenesis involved in differentiation","GO:0010770","positive regulation of cell morphogenesis involved in differentiation",0.021861139126726,0.0143824835005215,"BP",FALSE
"negative regulation of cell morphogenesis involved in differentiation","GO:0010771","negative regulation of cell morphogenesis involved in differentiation",0.0404476633774456,3.46900307292178e-06,"BP",FALSE
"regulation of peptidyl-threonine phosphorylation","GO:0010799","regulation of peptidyl-threonine phosphorylation",0.00102356958424192,0.0028306071316042,"BP",FALSE
"negative regulation of peptidyl-threonine phosphorylation","GO:0010801","negative regulation of peptidyl-threonine phosphorylation",0.00133662608426313,0.00369915002181767,"BP",FALSE
"regulation of cell-substrate adhesion","GO:0010810","regulation of cell-substrate adhesion",1.18652729606721e-05,0.00219598262821402,"BP",FALSE
"negative regulation of cell-substrate adhesion","GO:0010812","negative regulation of cell-substrate adhesion",0.0477332854573826,0.00611104012614482,"BP",FALSE
"regulation of glucose transmembrane transport","GO:0010827","regulation of glucose transmembrane transport",0.0428486736253226,0.00261490665421987,"BP",FALSE
"positive regulation of glucose transmembrane transport","GO:0010828","positive regulation of glucose transmembrane transport",0.0354017947109313,0.0146126914359636,"BP",FALSE
"regulation of myotube differentiation","GO:0010830","regulation of myotube differentiation",0.000602994360175137,0.00716765124221457,"BP",FALSE
"regulation of cardiac muscle contraction by calcium ion signaling","GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling",0.0102269175587146,0.0481475650036035,"BP",FALSE
"regulation of glucose metabolic process","GO:0010906","regulation of glucose metabolic process",0.00335766060335683,0.014002173847652,"BP",FALSE
"regulation of cell death","GO:0010941","regulation of cell death",1.1526331105435e-12,2.04423558548577e-06,"BP",FALSE
"positive regulation of cell death","GO:0010942","positive regulation of cell death",1.90557664269726e-07,1.62330437496182e-06,"BP",FALSE
"negative regulation of protein processing","GO:0010955","negative regulation of protein processing",0.0418109272815949,0.00859876704847286,"BP",FALSE
"regulation of glucan biosynthetic process","GO:0010962","regulation of glucan biosynthetic process",0.00587503291753691,0.0023658428853297,"BP",FALSE
"regulation of neuron projection development","GO:0010975","regulation of neuron projection development",8.86938658056047e-11,3.65900249099637e-10,"BP",FALSE
"positive regulation of neuron projection development","GO:0010976","positive regulation of neuron projection development",1.08230742505947e-05,0.000423665964120129,"BP",FALSE
"negative regulation of neuron projection development","GO:0010977","negative regulation of neuron projection development",0.00914578418218221,2.22019612985312e-07,"BP",FALSE
"programmed cell death","GO:0012501","programmed cell death",6.18330925008085e-11,6.66075309922315e-05,"BP",FALSE
"astrocyte development","GO:0014002","astrocyte development",0.0203310978576147,0.0358027344774669,"BP",FALSE
"regulation of gliogenesis","GO:0014013","regulation of gliogenesis",2.07617871036603e-05,0.00198341231341774,"BP",FALSE
"negative regulation of gliogenesis","GO:0014014","negative regulation of gliogenesis",0.000145258228552243,0.000328820136899741,"BP",FALSE
"primary neural tube formation","GO:0014020","primary neural tube formation",0.016021695727019,6.50394205073178e-05,"BP",FALSE
"Schwann cell differentiation","GO:0014037","Schwann cell differentiation",0.00364449875599445,0.0414627993918034,"BP",FALSE
"positive regulation of phosphatidylinositol 3-kinase signaling","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling",0.00643939269174777,8.03964079859127e-06,"BP",FALSE
"postsynaptic density","GO:0014069","postsynaptic density",1.04110572356445e-20,0.000300646987699329,"CC",FALSE
"response to organic cyclic compound","GO:0014070","response to organic cyclic compound",2.37775031833257e-10,0.035026537482059,"BP",FALSE
"intercalated disc","GO:0014704","intercalated disc",0.00795421815693258,0.037316614725679,"CC",FALSE
"striated muscle tissue development","GO:0014706","striated muscle tissue development",1.35396821185356e-13,1.24087646204968e-05,"BP",FALSE
"regulation of muscle hypertrophy","GO:0014743","regulation of muscle hypertrophy",4.73537644902189e-05,0.046906634007582,"BP",FALSE
"muscle cell migration","GO:0014812","muscle cell migration",2.30437846211598e-06,0.00121736848047347,"BP",FALSE
"striated muscle cell proliferation","GO:0014855","striated muscle cell proliferation",0.00669647767264321,0.00394862460206294,"BP",FALSE
"response to stimulus involved in regulation of muscle adaptation","GO:0014874","response to stimulus involved in regulation of muscle adaptation",0.0188174402144218,0.000844407039368808,"BP",FALSE
"response to muscle inactivity involved in regulation of muscle adaptation","GO:0014877","response to muscle inactivity involved in regulation of muscle adaptation",0.049250259958429,0.000432909397547612,"BP",FALSE
"cardiac muscle adaptation","GO:0014887","cardiac muscle adaptation",0.0292956314917163,0.0392862154466422,"BP",FALSE
"response to denervation involved in regulation of muscle adaptation","GO:0014894","response to denervation involved in regulation of muscle adaptation",0.049250259958429,0.000432909397547612,"BP",FALSE
"muscle hypertrophy","GO:0014896","muscle hypertrophy",0.000360434823295227,0.0398773097457953,"BP",FALSE
"striated muscle hypertrophy","GO:0014897","striated muscle hypertrophy",0.000879658875347721,0.0399674986161097,"BP",FALSE
"cardiac muscle hypertrophy in response to stress","GO:0014898","cardiac muscle hypertrophy in response to stress",0.0292956314917163,0.0392862154466422,"BP",FALSE
"myotube differentiation","GO:0014902","myotube differentiation",2.28880217287775e-10,0.0392236991671645,"BP",FALSE
"smooth muscle cell migration","GO:0014909","smooth muscle cell migration",4.14557601819084e-06,0.000166233546854872,"BP",FALSE
"regulation of smooth muscle cell migration","GO:0014910","regulation of smooth muscle cell migration",7.58527825888572e-06,0.000281889439673358,"BP",FALSE
"positive regulation of smooth muscle cell migration","GO:0014911","positive regulation of smooth muscle cell migration",0.000339526751719692,0.0481475650036035,"BP",FALSE
"negative regulation of smooth muscle cell migration","GO:0014912","negative regulation of smooth muscle cell migration",0.000914505962590478,5.48454305499101e-05,"BP",FALSE
"actin cytoskeleton","GO:0015629","actin cytoskeleton",1.47493459317098e-13,0.00359053850242708,"CC",FALSE
"monosaccharide transmembrane transport","GO:0015749","monosaccharide transmembrane transport",0.0277853226260861,0.00943759332425656,"BP",FALSE
"dystrophin-associated glycoprotein complex","GO:0016010","dystrophin-associated glycoprotein complex",0.0102160645427121,0.00645096865836131,"CC",FALSE
"cellular component organization","GO:0016043","cellular component organization",9.82384436566509e-08,7.69935477830224e-09,"BP",FALSE
"cell growth","GO:0016049","cell growth",5.73041856520093e-06,0.00042032008351255,"BP",FALSE
"Wnt signaling pathway","GO:0016055","Wnt signaling pathway",2.33541663064339e-07,9.14743268746275e-08,"BP",FALSE
"glial cell-derived neurotrophic factor receptor activity","GO:0016167","glial cell-derived neurotrophic factor receptor activity",0.00955647635419118,0.0280608223218089,"MF",FALSE
"regulation of striated muscle tissue development","GO:0016202","regulation of striated muscle tissue development",1.66415060001831e-06,0.00198962792433407,"BP",FALSE
"kinase activity","GO:0016301","kinase activity",5.91226569906454e-08,0.0207567005580636,"MF",FALSE
"phosphorylation","GO:0016310","phosphorylation",5.03848405973068e-08,1.03262992200378e-05,"BP",FALSE
"dephosphorylation","GO:0016311","dephosphorylation",6.54046523681444e-06,0.0240398136517993,"BP",FALSE
"morphogenesis of embryonic epithelium","GO:0016331","morphogenesis of embryonic epithelium",0.00019645310762441,1.00619183509071e-10,"BP",FALSE
"dendrite development","GO:0016358","dendrite development",5.6621657135074e-14,4.93138728465031e-05,"BP",FALSE
"cell migration","GO:0016477","cell migration",6.00120692812691e-29,1.06160796922868e-17,"BP",FALSE
"negative regulation of angiogenesis","GO:0016525","negative regulation of angiogenesis",0.000305959634188236,0.00773760672237283,"BP",FALSE
"phosphotransferase activity, alcohol group as acceptor","GO:0016773","phosphotransferase activity, alcohol group as acceptor",2.46260802200493e-08,0.00776466215806734,"MF",FALSE
"regulation of transforming growth factor beta receptor signaling pathway","GO:0017015","regulation of transforming growth factor beta receptor signaling pathway",7.57308851973405e-05,0.00805747964202254,"BP",FALSE
"chloride channel regulator activity","GO:0017081","chloride channel regulator activity",0.0259374928897912,0.011231040132632,"MF",FALSE
"negative regulation of translation","GO:0017148","negative regulation of translation",0.0450766442116208,0.00661964050563572,"BP",FALSE
"semaphorin receptor activity","GO:0017154","semaphorin receptor activity",0.0222921288316593,0.00126816249693916,"MF",FALSE
"peptidyl-serine phosphorylation","GO:0018105","peptidyl-serine phosphorylation",2.9129431834478e-09,0.0258792091600238,"BP",FALSE
"peptidyl-threonine phosphorylation","GO:0018107","peptidyl-threonine phosphorylation",7.40264751501651e-08,0.00606080882283892,"BP",FALSE
"peptidyl-tyrosine phosphorylation","GO:0018108","peptidyl-tyrosine phosphorylation",0.00156973559022664,0.0192528892002971,"BP",FALSE
"peptidyl-amino acid modification","GO:0018193","peptidyl-amino acid modification",2.26632194905596e-05,0.0190349712792614,"BP",FALSE
"peptidyl-threonine modification","GO:0018210","peptidyl-threonine modification",1.28097804159245e-07,0.0124254160058342,"BP",FALSE
"peptidyl-tyrosine modification","GO:0018212","peptidyl-tyrosine modification",0.00174720324829753,0.0224447772211682,"BP",FALSE
"transmembrane receptor protein phosphatase activity","GO:0019198","transmembrane receptor protein phosphatase activity",0.0111792579392591,0.0114017359484732,"MF",FALSE
"phosphatase regulator activity","GO:0019208","phosphatase regulator activity",0.0483038624131102,0.0365728497419513,"MF",FALSE
"regulation of phosphate metabolic process","GO:0019220","regulation of phosphate metabolic process",2.64616310228457e-09,1.81266039945412e-05,"BP",FALSE
"hexose biosynthetic process","GO:0019319","hexose biosynthetic process",0.0464121365188791,0.0478188361361435,"BP",FALSE
"stem cell population maintenance","GO:0019827","stem cell population maintenance",0.0152456515745126,8.39225211596272e-07,"BP",FALSE
"enzyme binding","GO:0019899","enzyme binding",2.70347548665171e-14,2.39675247993823e-05,"MF",FALSE
"kinase binding","GO:0019900","kinase binding",3.47591509965358e-05,0.00119183185908142,"MF",FALSE
"protein kinase binding","GO:0019901","protein kinase binding",0.000181855120554656,0.0183783293221379,"MF",FALSE
"phosphatase binding","GO:0019902","phosphatase binding",6.26269564028009e-05,0.00143067702745521,"MF",FALSE
"protein phosphatase binding","GO:0019903","protein phosphatase binding",0.000835307878026131,0.00752090560403057,"MF",FALSE
"protein domain specific binding","GO:0019904","protein domain specific binding",2.26435469412362e-09,0.00320570908147859,"MF",FALSE
"spinal cord development","GO:0021510","spinal cord development",0.00451610770099917,3.38275264877752e-07,"BP",FALSE
"ventral spinal cord interneuron differentiation","GO:0021514","ventral spinal cord interneuron differentiation",0.000724557876744784,0.00112345813759278,"BP",FALSE
"cell differentiation in spinal cord","GO:0021515","cell differentiation in spinal cord",0.0171957465874331,1.62771678317605e-07,"BP",FALSE
"ventral spinal cord development","GO:0021517","ventral spinal cord development",0.00561773868660886,1.698943618659e-05,"BP",FALSE
"cell proliferation in hindbrain","GO:0021534","cell proliferation in hindbrain",0.0162941829899653,0.000588298404325747,"BP",FALSE
"cell migration in hindbrain","GO:0021535","cell migration in hindbrain",0.0281466177898065,0.00107182552401452,"BP",FALSE
"diencephalon development","GO:0021536","diencephalon development",0.000337108124178083,0.000134664881056225,"BP",FALSE
"telencephalon development","GO:0021537","telencephalon development",2.29659419138562e-06,2.01169405217848e-09,"BP",FALSE
"pallium development","GO:0021543","pallium development",0.0020783797759615,1.02021941794619e-05,"BP",FALSE
"cranial nerve development","GO:0021545","cranial nerve development",0.0125333402712958,1.84237471086024e-06,"BP",FALSE
"cranial nerve morphogenesis","GO:0021602","cranial nerve morphogenesis",0.00373134552923477,1.65167392081325e-05,"BP",FALSE
"cranial nerve formation","GO:0021603","cranial nerve formation",0.0068251865418696,0.000737687729760103,"BP",FALSE
"optic nerve formation","GO:0021634","optic nerve formation",0.0438026968377474,0.00543954986054922,"BP",FALSE
"nerve development","GO:0021675","nerve development",0.00220350518708436,2.5190802461772e-07,"BP",FALSE
"developmental maturation","GO:0021700","developmental maturation",0.000233534536504316,2.43604768653809e-05,"BP",FALSE
"olfactory bulb development","GO:0021772","olfactory bulb development",0.0400553275144245,0.000523612722682821,"BP",FALSE
"glial cell fate commitment","GO:0021781","glial cell fate commitment",0.00173639574634958,0.0288001671485099,"BP",FALSE
"glial cell development","GO:0021782","glial cell development",8.15702295436342e-06,0.00101789481980129,"BP",FALSE
"forebrain generation of neurons","GO:0021872","forebrain generation of neurons",0.000493901982103991,2.02516900995377e-05,"BP",FALSE
"forebrain neuron differentiation","GO:0021879","forebrain neuron differentiation",0.00126938187658125,5.05831209612804e-06,"BP",FALSE
"forebrain cell migration","GO:0021885","forebrain cell migration",0.0189328724688243,0.0435827548335278,"BP",FALSE
"cell proliferation in external granule layer","GO:0021924","cell proliferation in external granule layer",0.00835416366606791,0.00292022789287899,"BP",FALSE
"cerebellar granule cell precursor proliferation","GO:0021930","cerebellar granule cell precursor proliferation",0.00835416366606791,0.00292022789287899,"BP",FALSE
"central nervous system neuron differentiation","GO:0021953","central nervous system neuron differentiation",4.94488510030722e-06,1.11720383266366e-10,"BP",FALSE
"central nervous system neuron development","GO:0021954","central nervous system neuron development",0.039371090284317,0.000723314118751611,"BP",FALSE
"pituitary gland development","GO:0021983","pituitary gland development",0.0117578153780207,0.00153012832674957,"BP",FALSE
"cerebral cortex development","GO:0021987","cerebral cortex development",0.00509870636839748,0.000177736587005837,"BP",FALSE
"neurogenesis","GO:0022008","neurogenesis",2.41008033491593e-34,1.20898339158393e-27,"BP",FALSE
"telencephalon cell migration","GO:0022029","telencephalon cell migration",0.00977481126940887,0.0433666773910789,"BP",FALSE
"metencephalon development","GO:0022037","metencephalon development",0.0499513224558275,5.1712700941316e-07,"BP",FALSE
"regulation of cell-cell adhesion","GO:0022407","regulation of cell-cell adhesion",1.84621292753826e-07,0.0128098327637991,"BP",FALSE
"negative regulation of cell-cell adhesion","GO:0022408","negative regulation of cell-cell adhesion",0.000341127343769923,0.00531791056799236,"BP",FALSE
"reproductive process","GO:0022414","reproductive process",9.89395861306653e-07,0.0136992762693312,"BP",FALSE
"regulation of anatomical structure morphogenesis","GO:0022603","regulation of anatomical structure morphogenesis",3.10586063801496e-18,4.69947295657666e-12,"BP",FALSE
"regulation of cell morphogenesis","GO:0022604","regulation of cell morphogenesis",1.06418319030889e-06,2.56987255373664e-06,"BP",FALSE
"biological adhesion","GO:0022610","biological adhesion",1.28511311168994e-27,9.50506644503712e-09,"BP",FALSE
"gland morphogenesis","GO:0022612","gland morphogenesis",0.00599348485018263,4.60280907442902e-06,"BP",FALSE
"signal transduction by protein phosphorylation","GO:0023014","signal transduction by protein phosphorylation",8.86027536022383e-05,0.00442689654802273,"BP",FALSE
"regulation of signaling","GO:0023051","regulation of signaling",1.17260094023632e-29,2.77156659092579e-10,"BP",FALSE
"signaling","GO:0023052","signaling",2.04962823824841e-66,5.32976124977038e-12,"BP",FALSE
"positive regulation of signaling","GO:0023056","positive regulation of signaling",4.33655422170872e-12,0.00586385364226352,"BP",FALSE
"negative regulation of signaling","GO:0023057","negative regulation of signaling",1.96144667484711e-09,1.86067809924213e-11,"BP",FALSE
"establishment of cell polarity","GO:0030010","establishment of cell polarity",0.00731339579386484,0.00153551885102267,"BP",FALSE
"Z disc","GO:0030018","Z disc",6.02133164603176e-05,0.0473551294505409,"CC",FALSE
"lamellipodium","GO:0030027","lamellipodium",3.62318781025387e-11,0.0259435863423116,"CC",FALSE
"actin filament-based process","GO:0030029","actin filament-based process",2.64888385798057e-24,3.17802313085828e-06,"BP",FALSE
"cell projection organization","GO:0030030","cell projection organization",1.04484084464967e-17,3.39641986347283e-17,"BP",FALSE
"actin cytoskeleton organization","GO:0030036","actin cytoskeleton organization",1.04980673182658e-20,6.48064317995018e-07,"BP",FALSE
"contractile actin filament bundle assembly","GO:0030038","contractile actin filament bundle assembly",1.23623089138577e-07,0.00116420706572487,"BP",FALSE
"actin filament polymerization","GO:0030041","actin filament polymerization",0.00155029641928206,0.00388403348183373,"BP",FALSE
"cell junction","GO:0030054","cell junction",4.42552852082105e-48,1.32030203808299e-06,"CC",FALSE
"hemopoiesis","GO:0030097","hemopoiesis",2.86103454770127e-07,0.0165562335929377,"BP",FALSE
"lymphocyte differentiation","GO:0030098","lymphocyte differentiation",3.04235188189689e-05,0.0191616195584482,"BP",FALSE
"regulation of Wnt signaling pathway","GO:0030111","regulation of Wnt signaling pathway",0.000597102649081082,1.72025955575594e-07,"BP",FALSE
"cell differentiation","GO:0030154","cell differentiation",2.9047366986518e-52,5.17200918186532e-27,"BP",FALSE
"regulation of cell adhesion","GO:0030155","regulation of cell adhesion",2.57495017085998e-14,7.66092872317316e-05,"BP",FALSE
"PDZ domain binding","GO:0030165","PDZ domain binding",7.11203786296623e-07,0.000433137979821457,"MF",FALSE
"filopodium","GO:0030175","filopodium",1.39966649188926e-07,0.00851962430649487,"CC",FALSE
"neuron differentiation","GO:0030182","neuron differentiation",7.58625415480857e-31,1.27443608705234e-27,"BP",FALSE
"extracellular matrix organization","GO:0030198","extracellular matrix organization",2.27314253685034e-07,0.0173969695376239,"BP",FALSE
"keratinocyte differentiation","GO:0030216","keratinocyte differentiation",0.00430195065475832,0.000182642080927674,"BP",FALSE
"T cell differentiation","GO:0030217","T cell differentiation",0.000476661828867199,0.0148548381268453,"BP",FALSE
"enzyme regulator activity","GO:0030234","enzyme regulator activity",0.000159578223688896,0.0266081394461235,"MF",FALSE
"regulation of ossification","GO:0030278","regulation of ossification",9.42025382318602e-08,0.000461535227589966,"BP",FALSE
"negative regulation of ossification","GO:0030279","negative regulation of ossification",0.0159324791523239,0.000102263337367999,"BP",FALSE
"protein serine/threonine kinase inhibitor activity","GO:0030291","protein serine/threonine kinase inhibitor activity",0.0398221079162995,0.00314296916032527,"MF",FALSE
"protein kinase activator activity","GO:0030295","protein kinase activator activity",0.0384354995233764,0.0482538105040097,"MF",FALSE
"respiratory tube development","GO:0030323","respiratory tube development",0.000797909299895086,3.54467288135457e-09,"BP",FALSE
"lung development","GO:0030324","lung development",0.00106231931412141,8.75621104512123e-10,"BP",FALSE
"embryonic limb morphogenesis","GO:0030326","embryonic limb morphogenesis",2.86674903501036e-05,1.61239901694923e-08,"BP",FALSE
"regulation of cell migration","GO:0030334","regulation of cell migration",4.74082830422429e-25,3.20109620323243e-13,"BP",FALSE
"positive regulation of cell migration","GO:0030335","positive regulation of cell migration",8.80243661970683e-13,1.21444785985446e-05,"BP",FALSE
"negative regulation of cell migration","GO:0030336","negative regulation of cell migration",6.44623848825991e-09,3.01964245438738e-07,"BP",FALSE
"translation repressor activity","GO:0030371","translation repressor activity",0.039661094055517,0.0251469953441608,"MF",FALSE
"axon","GO:0030424","axon",4.14563954426247e-07,0.0217755273961543,"CC",FALSE
"dendrite","GO:0030425","dendrite",1.64339416415605e-18,0.00562947791202841,"CC",FALSE
"growth cone","GO:0030426","growth cone",6.27794902047928e-08,0.000477949201682676,"CC",FALSE
"site of polarized growth","GO:0030427","site of polarized growth",1.14851857167786e-07,0.000300324892923263,"CC",FALSE
"BMP signaling pathway","GO:0030509","BMP signaling pathway",4.1576930086965e-06,3.74255422092289e-05,"BP",FALSE
"regulation of BMP signaling pathway","GO:0030510","regulation of BMP signaling pathway",0.000236176430272427,0.00107072013497367,"BP",FALSE
"negative regulation of transforming growth factor beta receptor signaling pathway","GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway",0.00845286429438602,0.00940250441466374,"BP",FALSE
"positive regulation of BMP signaling pathway","GO:0030513","positive regulation of BMP signaling pathway",0.0400553275144245,0.0135040380480508,"BP",FALSE
"negative regulation of BMP signaling pathway","GO:0030514","negative regulation of BMP signaling pathway",0.0163852244368118,0.00906333919996388,"BP",FALSE
"intracellular receptor signaling pathway","GO:0030522","intracellular receptor signaling pathway",0.00593465705120241,0.00400800909392869,"BP",FALSE
"adult behavior","GO:0030534","adult behavior",0.000322418695818736,0.00587003711482226,"BP",FALSE
"cyclic nucleotide binding","GO:0030551","cyclic nucleotide binding",6.96661409000276e-05,0.00907819390389077,"MF",FALSE
"cAMP binding","GO:0030552","cAMP binding",0.0192166773920385,0.0222975968412727,"MF",FALSE
